# {"coordinate_unit":"bohr","format":"chemblender_grid_sample","grid_id":"9f539ed5-4473-42ac-ad09-c37c648f501a","grid_origin":[-6.130000114440918,-5.869999885559082,-6.070000171661377],"grid_revision":"ac799fc1e2c9555bb062d6910905bc6eb1f8c0e8363b58d2c6039a3f6dbcab1e","grid_shape":[45,45,45],"grid_step_vectors":[[0.2800000011920929,0.0,0.0],[0.0,0.2800000011920929,0.0],[0.0,0.0,0.2800000011920929]],"kind":"plane","provenance_ids":["9a43ce0f-c6fb-4ed7-a8c3-7d6072f169ab"],"sampling":{"counts":[97,97],"dataset_index":0,"origin":[-4.5,0.13,-4.5],"u_vector":[9.0,0.0,0.0],"v_vector":[0.0,0.0,9.0]},"semantic_role":"electrostatic_potential","source_calculation":null,"structure_id":"9a20aa19-f6e3-41a3-9c23-0fc2f631990b","value_unit":"hartree_per_elementary_charge","version":1}
x,y,z,distance,value,valid_mask,coordinate_unit,value_unit
-4.40625,0.13,0.9375,,-0.01869203325801308,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.0312499999999991,,-0.017947531673736677,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.125,,-0.01720303008946026,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.21875,,-0.016458010013366792,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.3124999999999991,,-0.015707953248928354,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.40625,,-0.014957896484489891,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.5,,-0.014209651486484802,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.5937499999999991,,-0.013476579795460075,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.6875,,-0.012743508104435326,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.78125,,-0.012014715722688342,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.8749999999999991,,-0.01131730450398007,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,1.96875,,-0.010619893285271782,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.0625,,-0.0099291294351307544,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.1562499999999991,,-0.0092815729339074584,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.25,,-0.0086340164326841658,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.34375,,-0.0079951788774277506,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.4374999999999991,,-0.0074070691475253891,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.53125,,-0.0068189594176230345,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.625,,-0.0062412041440184137,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.7187499999999991,,-0.0057178091848102538,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.8125,,-0.0051944142256020974,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.90625,,-0.0046824983384379766,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,2.9999999999999991,,-0.0042253282507469774,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,3.09375,,-0.0037681581630559877,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,3.1875,,-0.0033230682047546939,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,3.2812499999999991,,-0.0029306126066130167,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,3.375,,-0.0025381570084713483,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,3.46875,,-0.0021578976889789882,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,3.5625,,-0.0018264230576066518,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,3.65625,,-0.0014949484262343235,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,3.75,,-0.0011753753912470144,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,3.84375,,-0.00089968913047765067,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,3.9375,,-0.000624002869708281,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,4.03125,,-0.00035960514385842207,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,4.125,,-0.0001337209412954671,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,4.21875,,9.216326126749278e-05,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,4.3125,,0.00030759447127832383,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,4.40625,,0.00048992478511721113,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,4.5,,0.00067225509895610239,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-4.5,,-0.016213554624424555,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-4.40625,,-0.01659229471771163,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-4.3125,,-0.016989936571070327,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-4.21875,,-0.017391541648166732,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-4.125,,-0.017793146725263134,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-4.03125,,-0.018212106376064532,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3.9375,,-0.018634371617106241,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3.84375,,-0.01905663685814795,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3.75,,-0.019493342603794223,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3.65625,,-0.019932530276875124,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3.5625,,-0.020371717949956014,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3.46875,,-0.020820654888143164,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3.375,,-0.021271091690988488,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3.28125,,-0.021721528493833814,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3.1875,,-0.022174805519163811,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3.09375,,-0.022628469841310617,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-3,,-0.023082134163457425,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-2.90625,,-0.023529090544717541,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-2.8125,,-0.023975245992027241,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-2.71875,,-0.024421401439336937,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-2.625,,-0.024848341929403783,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-2.53125,,-0.02527330444839963,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-2.4375,,-0.025698266967395481,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-2.34375,,-0.026088448570511073,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-2.25,,-0.026475605814609011,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-2.1562500000000004,,-0.026862763058706947,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-2.0625,,-0.027196780126083165,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-1.96875,,-0.027527001567390224,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-1.8750000000000004,,-0.027857223008697286,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-1.78125,,-0.028113930963399009,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-1.6875,,-0.028366497447776806,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-1.5937500000000004,,-0.0286190639321546,1,bohr,hartree_per_elementary_charge
-4.3125,0.13,-1.5,,-0.028777122871343395,1,bohr,hartree_per_elementary_charge
